id,name,owner,status,layout_id,created_time,start_date,end_date
2376502000006264023,1211 - Clinica Start Diagnósticos - AP,willian.anjos,Aberto,,2025-10-29T02:18:51.893Z,2025-10-28,2026-01-14
2376502000006239269,1234 - Cliente Dry-Run - NR/AP,Giovani,Aberto,,2025-10-28T18:25:58.333Z,2025-09-19,
2376502000006237137,9851 - Teste de projeto - NR/AP,Giovani,Operação Assistida,,2025-10-27T10:00:46.384Z,2025-10-27,2026-03-09
2376502000006182015,9859 - Projeto teste - NR/AP,Giovani,Em Andamento,,2025-10-22T22:15:26.885Z,2025-10-22,2026-03-03
2376502000006131101,9861 - Projeto teste tarefas - NR/AP,Giovani,Em Andamento,,2025-10-19T20:16:12.801Z,2025-10-19,2026-02-26
2376502000006103025,1182 - Serviço de Radiodiagnóstico de Londrina - AP,Giovani,Aberto,,2025-10-15T20:43:13.941Z,2025-10-15,2026-02-24
2376502000006105013,1185 - Ecocardio Vascular Serviço de Imagenologia - AP,Giovani,Aberto,,2025-10-15T20:34:31.923Z,2025-10-15,2026-02-25
2376502000006099003,1183 - Ultra X Diagnósticos por Imagem - AP,Giovani,Aberto,,2025-10-15T20:26:48.966Z,2025-10-15,2026-02-25
2376502000006084505,0986 - IBMED - NR/AP,willian.anjos,Em Andamento,,2025-10-15T04:31:13.739Z,2025-10-14,2026-02-23
2376502000005994875,1165 - IDX - Instituto de Diagnóstico Por Imagem - NR/AP,Giovani,Aberto,,2025-10-13T20:32:33.373Z,2025-10-13,2026-02-23
2376502000005993043,1208 -Diagmed Centro de Diagnostico em Medicina Ltda - AP,willian.anjos,Aberto,,2025-10-11T02:26:42.815Z,2025-10-10,2026-02-20
2376502000005972063,1206 - ONE MEDICINA DIAGNOSTICA LTDA - NR/AP,willian.anjos,Em Andamento,,2025-10-10T01:24:46.965Z,2025-10-09,2026-03-05
2376502000005824904,1205 - RAIO X LAGOS DIAGNÓSTICOS POR IMAGEM - NR/AP,Giovani,Aberto,,2025-10-04T03:49:00.597Z,2025-10-04,2026-02-23
2376502000005827385,1191 - Ecos Diagnóstico por Imagem - NR/AP,willian.anjos,Em Andamento,,2025-10-04T00:58:24.487Z,2025-10-03,2026-03-05
2376502000005824705,1195 - Hospital de Clínicas de Carazinho - AP,Giovani,Aberto,,2025-10-03T04:08:58.020Z,2025-10-03,2026-02-13
2376502000005834717,Registro de Horas NÃO faturáveis - 4° trimestre,Giovani,Aberto,,2025-10-02T03:06:22.344Z,2025-10-01,
2376502000005824069,1201 - NDI Núcleo De Diagnósticos Por Imagem - NR/AP,willian.anjos,Aberto,,2025-10-01T02:51:41.262Z,2025-09-30,2026-02-10
2376502000005828025,1200 - Bio Imagem – Ressonância Magnética - NR/AP,Giovani,Aberto,,2025-10-01T02:41:10.842Z,2025-09-30,2026-02-09
2376502000005758230,1199 - CDI Ultrassom - AP,willian.anjos,Em Andamento,,2025-09-26T21:54:08.941Z,2025-09-26,2025-12-11
2376502000005726003,1192 - Viavita Serviços Médicos - NR/AP,Giovani,Aberto,,2025-09-24T20:21:10.949Z,2025-09-24,2026-02-03
2376502000005705146,1194 - Santa Cecília - Centro de Diagnósticos - AP,willian.anjos,Aberto,,2025-09-24T04:23:11.922Z,2025-09-24,2025-12-08
2376502000005705007,1198 - Invasc - Instituto Vascular de Passo Fundo - AP,Giovani,Aberto,,2025-09-24T02:33:55.070Z,2025-09-23,2025-12-09
2376502000005641995,1197 - Datamed - AP/NR,willian.anjos,Em Andamento,,2025-09-23T04:52:10.561Z,2025-09-17,2026-02-16
2376502000005641687,1190 - GSG Imagens - AP,willian.anjos,Em Andamento,,2025-09-23T03:27:52.349Z,2025-09-15,2026-03-03
2376502000005641460,REIMPLANTAÇÃO - Nova Medical Center,willian.anjos,Em Andamento,,2025-09-23T02:36:22.807Z,2025-09-22,2025-10-21
2376502000005542081,0548 - Med-X Serviços de Diagnóstico Por Imagem - NR/AP,Giovani,Aberto,,2025-09-16T22:49:58.664Z,2025-09-16,2026-01-30
2376502000005544019,1181 - CLINICA RADIOLÓGICA SANTA BARBARA - NR/AP,Giovani,Em Andamento,,2025-09-16T02:08:40.673Z,2025-09-15,2026-01-30
